window,outcome,xset,term,beta,se,p,n,r2_within
w6_10,gfcf_gdp,aidtype,share_aidtype_technical_cooperation,-2.6082854214984947,6.816312757489298,0.7020094776302259,2641,-0.009683623244970407
w6_10,gfcf_gdp,aidtype,share_aidtype_budget_support,-0.3265889911701081,1.2857366714022185,0.7995094365598165,2641,-0.009683623244970407
w6_10,gfcf_gdp,aidtype,share_aidtype_project,-2.2838136102732274,1.454041558339027,0.11638756520941218,2641,-0.009683623244970407
w6_10,gfcf_gdp,aidtype,share_aidtype_pooled_earmarked,-7.044314162000056,7.617796944239995,0.35520238529176007,2641,-0.009683623244970407
w6_10,gfcf_gdp,aidtype,share_aidtype_ngo_core,37.70932557454755,19.9924468678323,0.0593874054887813,2641,-0.009683623244970407
w6_10,gfcf_gdp,aidtype,share_aidtype_scholarships_students,-3.4436591088900053,5.2559727080739576,0.5124062781388916,2641,-0.009683623244970407
w6_10,gfcf_gdp,aidtype,share_aidtype_admin_refugee_awareness,-21.65659683321937,22.16581206372407,0.32865088758178773,2641,-0.009683623244970407
w6_10,gfcf_gdp,channel,share_channel_public_recipient,3.9260342180575654,2.1470018812393374,0.06757740395998968,2641,0.022479863279036172
w6_10,gfcf_gdp,channel,share_channel_public_donor,-2.484780205884868,2.659387829490151,0.35021773453296934,2641,0.022479863279036172
w6_10,gfcf_gdp,channel,share_channel_ngo,-0.3212510080197717,4.071441764387619,0.9371157265705057,2641,0.022479863279036172
w6_10,gfcf_gdp,channel,share_channel_multilateral,-3.903916091115798,2.9166184846895744,0.18085336201133173,2641,0.022479863279036172
w6_10,gfcf_gdp,channel,share_channel_private_recipient,9.217627469603112,5.004313859520281,0.06560345704424608,2641,0.022479863279036172
w6_10,gfcf_gdp,finance,share_finance_grant,-0.09925079363851244,1.8615762243265386,0.9574848389159243,2641,0.028392640537975855
w6_10,gfcf_gdp,finance,share_finance_loan,-1.0153777927484124,2.047944069381597,0.6200768268623564,2641,0.028392640537975855
w6_10,gfcf_gdp,extra,share_tc_usd_irtc,2.3179189962069877,1.2700200247829725,0.06810503890702035,2641,0.025652706525710056
w6_10,gfcf_gdp,extra,share_untied,1.4565197580149478,0.8632597576237876,0.0916839398729874,2641,0.025652706525710056
w6_10,manf_gdp,aidtype,share_aidtype_technical_cooperation,-1.5748803662180635,2.408649907219372,0.5132673510746453,2911,0.013080836740613111
w6_10,manf_gdp,aidtype,share_aidtype_budget_support,-1.215547738626491,0.5161334219877238,0.018587580970718554,2911,0.013080836740613111
w6_10,manf_gdp,aidtype,share_aidtype_project,-0.8206204869729542,0.5025965650375794,0.10263383104534518,2911,0.013080836740613111
w6_10,manf_gdp,aidtype,share_aidtype_pooled_earmarked,-0.7486150529689317,2.4942199927118045,0.7640931458649933,2911,0.013080836740613111
w6_10,manf_gdp,aidtype,share_aidtype_ngo_core,6.18623507078367,7.965001573042834,0.4374161891772135,2911,0.013080836740613111
w6_10,manf_gdp,aidtype,share_aidtype_scholarships_students,2.0714840516071873,3.149488661097204,0.5107727539846678,2911,0.013080836740613111
w6_10,manf_gdp,aidtype,share_aidtype_admin_refugee_awareness,7.452769550211512,15.374226995066879,0.6278871721698049,2911,0.013080836740613111
w6_10,manf_gdp,channel,share_channel_public_recipient,0.32512061235343576,1.0446745706518652,0.7556591913754089,2911,-0.18877485964899976
w6_10,manf_gdp,channel,share_channel_public_donor,0.8157015458838054,1.2478103032225139,0.5133557323739004,2911,-0.18877485964899976
w6_10,manf_gdp,channel,share_channel_ngo,0.6328702440342951,2.4358339111211125,0.7950246729219939,2911,-0.18877485964899976
w6_10,manf_gdp,channel,share_channel_multilateral,2.1751980422268953,0.928283522248477,0.0191876942571787,2911,-0.18877485964899976
w6_10,manf_gdp,channel,share_channel_private_recipient,-1.6355554438008986,2.8024220664171606,0.5595225219168489,2911,-0.18877485964899976
w6_10,manf_gdp,finance,share_finance_grant,-0.6342498464163402,0.5498042310335389,0.24876770340798826,2911,-0.06794811677149837
w6_10,manf_gdp,finance,share_finance_loan,-0.41429331859243507,0.6733680456610323,0.5384370017514821,2911,-0.06794811677149837
w6_10,manf_gdp,extra,share_tc_usd_irtc,-0.13686468614736527,0.4119995322258558,0.739766426471764,2911,-0.07145561836787473
